PeakID,PeakID,chr,end,in_ensg,in_gene,itype,mid,start
Interval_18930,Interval_18930,13,24329237,ENSG00000027001,MIPEP,intron,24328843.0,24328449
Interval_46488,Interval_46488,22,23528444,ENSG00000186716,BCR,intron,23528092.5,23527741
Interval_45127,Interval_45127,20,61519298,ENSG00000101191,DIDO1,exon,61519079.5,61518861
Interval_52413,Interval_52413,3,178067212,ENSG00000223930,RP11-33A14.1,intron,178066779.0,178066346
Interval_26843,Interval_26843,16,27285982,ENSG00000245888,CTD-3203P2.2,intron,27285472.0,27284962
Interval_17364,Interval_17364,12,88693987,None,nan,Intergen,88693299.5,88692612
Interval_25652,Interval_25652,15,91892849,None,nan,Intergen,91892538.5,91892228
Interval_15251,Interval_15251,12,9893159,None,nan,Intergen,9892610.0,9892061
Interval_67785,Interval_67785,7,18679484,ENSG00000048052,HDAC9,intron,18678947.0,18678410
Interval_39830,Interval_39830,2,113993850,ENSG00000189223,PAX8-AS1,promoter-TSS,113993315.0,113992780
Interval_23059,Interval_23059,14,98392195,ENSG00000246223,C14orf64,TTS,98391816.0,98391437
Interval_42609,Interval_42609,2,224747118,ENSG00000085449,WDFY1,intron,224746867.0,224746616
Interval_20773,Interval_20773,13,107223133,None,nan,Intergen,107222953.5,107222774
Interval_26733,Interval_26733,16,23495271,ENSG00000103365,GGA2,intron,23494650.0,23494029
Interval_12906,Interval_12906,11,67652796,None,nan,Intergen,67652337.5,67651879
Interval_60087,Interval_60087,5,124238359,None,nan,Intergen,124238107.0,124237855
Interval_46137,Interval_46137,21,46722515,ENSG00000184274,LINC00315,intron,46722157.5,46721800
Interval_42286,Interval_42286,2,212476726,ENSG00000178568,ERBB4,intron,212476178.0,212475630
Interval_45990,Interval_45990,21,44574385,None,nan,Intergen,44573956.0,44573527
Interval_28207,Interval_28207,16,82689713,ENSG00000140945,CDH13,intron,82689254.0,82688795
Interval_16879,Interval_16879,12,65154901,ENSG00000238592,snoU13-90,promoter-TSS,65154747.5,65154594
Interval_28207,Interval_28207,16,82689713,ENSG00000140945,CDH13,intron,82689254.0,82688795
Interval_18900,Interval_18900,13,22616005,None,nan,Intergen,22615454.5,22614904
Interval_76292,Interval_76292,9,87285587,ENSG00000148053,NTRK2,promoter-TSS,87284918.5,87284250
Interval_57534,Interval_57534,5,964537,None,nan,Intergen,964040.5,963544
Interval_26940,Interval_26940,16,29130299,ENSG00000260517,RP11-426C22.5,intron,29130074.5,29129850
Interval_56702,Interval_56702,4,156561459,None,nan,Intergen,156560933.5,156560408
Interval_54918,Interval_54918,4,82075704,ENSG00000138669,PRKG2,promoter-TSS,82075218.0,82074732
Interval_39830,Interval_39830,2,113993850,ENSG00000189223,PAX8-AS1,promoter-TSS,113993315.0,113992780
Interval_36644,Interval_36644,2,394578,ENSG00000236856,AC105393.1,intron,394037.5,393497
Interval_38974,Interval_38974,2,86067755,ENSG00000115525,ST3GAL5,exon,86067349.5,86066944
Interval_25949,Interval_25949,16,597623,ENSG00000261691,LA16c-366D1.3,TTS,596941.5,596260
Interval_68071,Interval_68071,7,27170984,ENSG00000197576,HOXA4,promoter-TSS,27170413.5,27169843
Interval_9388,Interval_9388,10,79596537,ENSG00000151208,DLG5,intron,79596177.0,79595817
Interval_64666,Interval_64666,6,93433857,ENSG00000220908,RP11-127B16.1,exon,93433323.0,93432789
Interval_32602,Interval_32602,18,26362538,None,nan,Intergen,26362013.0,26361488
Interval_68628,Interval_68628,7,45961148,ENSG00000146674,IGFBP3,promoter-TSS,45960732.0,45960316
Interval_24711,Interval_24711,15,65593210,ENSG00000138617,PARP16,exon,65592843.5,65592477
Interval_75313,Interval_75313,9,20659016,ENSG00000188352,FOCAD,intron,20658532.5,20658049
Interval_36317,Interval_36317,19,52391539,ENSG00000161551,ZNF577,promoter-TSS,52391080.0,52390621
Interval_36210,Interval_36210,19,50159613,ENSG00000126461,SCAF1,intron,50159412.0,50159211
Interval_52423,Interval_52423,3,178755755,ENSG00000172667,ZMAT3,intron,178755441.0,178755127
Interval_26044,Interval_26044,16,2084159,ENSG00000065054,SLC9A3R2,intron,2083550.5,2082942
Interval_18881,Interval_18881,13,21940281,None,nan,Intergen,21939839.5,21939398
Interval_41336,Interval_41336,2,179914955,ENSG00000163492,CCDC141,intron,179914423.5,179913892
Interval_26279,Interval_26279,16,8986099,ENSG00000187555,USP7,TTS,8985600.0,8985101
Interval_20166,Interval_20166,13,76971899,None,nan,Intergen,76971578.5,76971258
Interval_31868,Interval_31868,17,78611705,ENSG00000141564,RPTOR,intron,78611184.0,78610663
Interval_67786,Interval_67786,7,18689301,ENSG00000048052,HDAC9,intron,18688846.0,18688391
Interval_78093,Interval_78093,X,70400,None,nan,Intergen,69698.0,68996
Interval_39348,Interval_39348,2,100908776,ENSG00000170500,LONRF2,intron,100908159.0,100907542
Interval_39830,Interval_39830,2,113993850,ENSG00000189223,PAX8-AS1,promoter-TSS,113993315.0,113992780
Interval_6721,Interval_6721,1,228247979,ENSG00000154342,WNT3A,exon,228247352.5,228246726
Interval_21283,Interval_21283,14,31160232,ENSG00000092108,SCFD1,intron,31159842.0,31159452
Interval_13092,Interval_13092,11,72533890,ENSG00000168010,ATG16L2,promoter-TSS,72533392.0,72532894
Interval_75098,Interval_75098,9,6716669,ENSG00000225489,RP11-390F4.3,promoter-TSS,6716211.0,6715753
Interval_56394,Interval_56394,4,143489165,ENSG00000249806,RP11-223C24.1,intron,143488036.5,143486908
Interval_78148,Interval_78148,X,1742570,ENSG00000196433,ASMT,intron,1742221.0,1741872
Interval_72910,Interval_72910,8,71384466,ENSG00000253967,RP11-333A23.4,exon,71383879.0,71383292
Interval_32577,Interval_32577,18,23714305,ENSG00000154611,PSMA8,exon,23713983.5,23713662
Interval_53949,Interval_53949,4,35527473,None,nan,Intergen,35527068.5,35526664
Interval_79737,Interval_79737,X,103217854,ENSG00000158427,TMSB15B-2,promoter-TSS,103217177.0,103216500
Interval_46137,Interval_46137,21,46722515,ENSG00000184274,LINC00315,intron,46722157.5,46721800
Interval_57639,Interval_57639,5,8458372,ENSG00000249159,RP11-480D4.2,promoter-TSS,8457716.5,8457061
Interval_14532,Interval_14532,11,123626344,ENSG00000221931,OR6X1,promoter-TSS,123625829.0,123625314
Interval_17936,Interval_17936,12,106663408,ENSG00000136026,CKAP4,intron,106663000.5,106662593
Interval_72086,Interval_72086,8,28908174,ENSG00000147421,HMBOX1,promoter-TSS,28907786.5,28907399
Interval_42183,Interval_42183,2,208031657,ENSG00000118263,KLF7,promoter-TSS,208030720.0,208029783
Interval_67772,Interval_67772,7,18562145,ENSG00000048052,HDAC9,intron,18561850.0,18561555
Interval_5886,Interval_5886,1,202167391,ENSG00000238571,snoU13-33,promoter-TSS,202167078.5,202166766
Interval_32070,Interval_32070,17,80806473,ENSG00000141556,TBCD,intron,80806091.0,80805709
Interval_77486,Interval_77486,9,130617303,ENSG00000106991,ENG,exon,130616600.0,130615897
Interval_12460,Interval_12460,11,60871129,ENSG00000110448,CD5,intron,60870385.0,60869641
Interval_64242,Interval_64242,6,74105007,ENSG00000080007,DDX43,promoter-TSS,74104688.5,74104370
Interval_71043,Interval_71043,7,148769413,ENSG00000197362,ZNF786,exon,148768858.0,148768303
Interval_10835,Interval_10835,10,132100293,None,nan,Intergen,132099719.0,132099145
Interval_28339,Interval_28339,16,87379262,ENSG00000103264,FBXO31,intron,87378822.0,87378382
Interval_76206,Interval_76206,9,80647539,ENSG00000156052,GNAQ,promoter-TSS,80646177.5,80644816
Interval_39830,Interval_39830,2,113993850,ENSG00000189223,PAX8-AS1,promoter-TSS,113993315.0,113992780
Interval_49683,Interval_49683,3,62305209,ENSG00000114405,C3orf14,promoter-TSS,62304735.0,62304261
Interval_57639,Interval_57639,5,8458372,ENSG00000249159,RP11-480D4.2,promoter-TSS,8457716.5,8457061
Interval_47313,Interval_47313,22,41081908,None,nan,Intergen,41081408.5,41080909
Interval_59631,Interval_59631,5,101491409,None,nan,Intergen,101490925.0,101490441
Interval_49665,Interval_49665,3,59769851,ENSG00000189283,FHIT,intron,59769487.5,59769124
Interval_24711,Interval_24711,15,65593210,ENSG00000138617,PARP16,exon,65592843.5,65592477
Interval_45507,Interval_45507,21,28218108,ENSG00000154734,ADAMTS1,promoter-TSS,28216972.5,28215837
Interval_25658,Interval_25658,15,92013814,ENSG00000258551,RP11-661P17.1,intron,92013245.0,92012676
Interval_53422,Interval_53422,4,5713391,ENSG00000072840,EVC,promoter-TSS,5712916.5,5712442
Interval_78093,Interval_78093,X,70400,None,nan,Intergen,69698.0,68996
Interval_62195,Interval_62195,6,10661009,None,nan,Intergen,10660267.0,10659525
Interval_27161,Interval_27161,16,32199769,ENSG00000230267,HERC2P4,promoter-TSS,32199296.5,32198824
Interval_36472,Interval_36472,19,55526797,ENSG00000088053,GP6,exon,55526191.0,55525585
Interval_63752,Interval_63752,6,44665590,None,nan,Intergen,44665269.5,44664949
Interval_19725,Interval_19725,13,50210263,None,nan,Intergen,50209989.0,50209715
Interval_77082,Interval_77082,9,115819528,ENSG00000136866,ZFP37,promoter-TSS,115819072.0,115818616
Interval_60090,Interval_60090,5,124288308,None,nan,Intergen,124287841.5,124287375
Interval_69194,Interval_69194,7,82308318,None,nan,Intergen,82307485.5,82306653
Interval_80133,Interval_80133,X,130876296,ENSG00000213468,RP11-453F18__B.1,intron,130875716.0,130875136
Interval_54918,Interval_54918,4,82075704,ENSG00000138669,PRKG2,promoter-TSS,82075218.0,82074732
Interval_6907,Interval_6907,1,234493182,ENSG00000236358,RP5-827C21.2,promoter-TSS,234492811.0,234492440
Interval_24711,Interval_24711,15,65593210,ENSG00000138617,PARP16,exon,65592843.5,65592477
Interval_5438,Interval_5438,1,187042759,None,nan,Intergen,187042176.0,187041593
Interval_79430,Interval_79430,X,72435302,ENSG00000186462,NAP1L2,promoter-TSS,72434658.5,72434015
